Initial Text,Completed Text
Older female walking down city sidewalk in a yellow,jacket holding a black Zales bag.
Black man does the flatulence dance and lets,loose in front of some islanders.
A crowd is standing and waiting,for the green light.
A brown dog leaps in the air,to catch a white volleyball.
A man with a bucket is walking towards a large statue of a,woman in a red dress holding a beer can.
A woman in an oversized black shirt plays a black,and red guitar in a musky room.
People are walking down an alley,half shadowed by a building.
A group of women converse together while,overlooking the views of the foliage.
The boy is pushing a girl,on a swing outside.
A football player 94,tackles an opponent.
A photographer is holding his camera next,to an orange barrier beside water.
People are standing and sitting at round,tables in a large room.
A young child dressed in a graduation gown is,throwing a graduation cap in the air.
Many people riding bikes on a path while,another person is walking toward them.
"A man wearing only a cowboy hat, cowboy boots, and underwear",talks to a woman on a city street.
A man navigating a watercraft,under partly cloudy skies.
Two people stand outside of a red,car in the city and hug.
A woman sits at a chair drawing a,caricature portrait of a young boy.
Man running with no shirt wearing,number 129 on his shorts.
A man wearing a red tie and,suit is speaking to a crowd.
"Man wearing a red, black, and white jacket riding a",bicycle down a paved path in a park.
A woman walks her dog while walking,down a street of shops.
Two men playing guitars are standing on a stage,with lots of equipment surrounding them.
"An old man, behind him on",glass is many political advertisements.
A young woman is holding a music,player with earphones as she walks.
A child getting out of the,car wearing soccer shoes.
A child,in water.
A baseball player tries to slide into third base while,"another player blocks him, as an umpire approaches."
A little league pitcher wearing glasses beginning,his pitching windup during a game.
A young woman in a light-colored blouse is showing a little girl,some plants that are sitting on a shelf.
Six people wearing cowboy hats with,the foremost person wearing sunglasses.
"A woman in a colorful dress drives a motorized chair past a corner on a city sidewalk,",while a man in a long white t-shirt walks towards the road.
Long-haired skateboarder jumping over bike,rack in a city.
"A skateboarder, holding his board while airborne, with high",voltage power lines in the background.
A blond woman is holding a,tray with pen and paper.
Person popping a wheelie,on a dirt road.
A man and a woman can,prepare meals at camp together.
A girl lays in the grass in front of,the Leaning Tower of Pisa in Italy.
A group of men,play field hockey.
A boy wearing blue,walks across some rocks.
A man wearing a green shirt,skateboarding down a street.
A black dog in,running in a field.
A man with a mohawk is carrying food while,"wearing a t-shirt that says ""bread-butter-cheese-victory""."
A man crosses through a large puddle,in a crowded street in Asia.
A man walking with a cane,in front of a mural.
There is an animal crossing the road,in front of a car.
A young boy shows,off his basketball skills
Two people are walking around the,grounds of a castle.
One boxer in white shorts is punching the other boxer,in blue and red shorts in the face.
"Two men who play in hockey, one with a red jersey and one","with a white jersey, are fist fighting each other."
A woman in a purple shirt and a,brown puppy sit near a fountain
Young woman in a bikini jumping,into a backyard in-ground pool.
A crowd of people,in an outdoor area.
"A group of people holding their hands in the air, shouting,",with a black banner in front of them.
Man sitting on top of,woman on a bench.
Hikers enjoy the scenery,in the woods.
A large dog runs through a,field with a smaller dog.
A woman with blond-hair,walks on a road.
A man in an orange hat and carrying papers lifts,"his pinkie finger, while holding a sign."
Two children in casual clothing are lying in,the grass on a sunny day.
The child is sitting on the street,playing with a red toy.
A group of people sitting in green chairs,listening to a man play music.
a man,breathes fire.
Two guys dressed in,white play Cricket.
"Two individuals are fencing, sword fighting,",and the score is 2-0.
Two males and a female walking,down a country road.
A adventure bound person climbing the,face of a mountain.
A man appears to be floating above a bed with red blankets in front of a,sliding glass door that leads to a balcony above a marina.
A man and a woman walk away,with their arms around each other.
Two women wearing open toed shoes,are riding a motorcycle.
"Three men are working in a bike shop, surrounded by bicycle frames, one of the men is sitting down, possibly reading something, another","man is checking his phone, and the third man is smiling, looking around at the shop."
A little girl is peeking out,from behind a blue wall.
Two girls dressed in,bikinis walk outside.
A woman in a green-patterned shirt,is talking on a cellphone.
A young man in a black hat walking down the,"street, pointing at something in the distance."
A little Asian boy is wearing green beads and,holding a green St. Patrick's Day balloon.
A group of children holding butterfly,cutouts in the air.
A young woman wearing a traditional headscarf reads text from a paper,into a microphone outside in an urban setting.
A woman with a smile& wearing a black,sweater has an axe outside down.
A group of football,players are playing football.
A lone soccer player being spectated by,many out on the field.
Blurry view of a woman in black shirt,on the phone in her office.
"A child, backlit by the sun, jumping in the","air, with the ocean in the background."
Two men work on repairing a hole in a,"building, while suspended from a lift."
